,CTL,1.25xCO2,1.5xCO2,1.75xCO2,2xCO2,3xCO2,4xCO2,6xCO2,8xCO2
0156-12-15 00:00:00,-0.48349762,-0.8915844,-0.9531708,-0.9709358,-0.32034492,0.886755,0.64967537,-0.15462303,-0.5419693
0157-01-15 00:00:00,-0.34935188,-0.59368324,-0.90177536,-0.8043175,-0.29889488,0.7743416,0.5615635,-0.08732033,-0.63267136
0157-02-15 00:00:00,-0.2871971,-0.38199043,-0.85419464,-0.50819397,0.13813591,0.42516518,0.24773598,-0.22734642,-0.8566055
0157-03-15 00:00:00,-0.5108223,-0.25089455,-0.7027874,-0.41828537,-0.020141602,0.3147297,0.15449715,-0.029140472,-0.8356838
0157-04-15 00:00:00,-0.5118599,-0.14942169,-0.49738312,-0.38071632,0.014192581,0.4533348,0.2514248,0.055591583,-0.5531349
0157-05-15 00:00:00,-0.24263763,-0.0012435913,-0.15860176,-0.30145836,0.1037426,0.27272034,0.13531113,-0.18341827,-0.5221672
0157-06-15 00:00:00,0.10736656,0.16659164,0.0973587,-0.24773979,-0.004245758,-0.2004261,0.0090408325,-0.10739136,-0.52612305
0157-07-15 00:00:00,0.3053112,0.222332,0.20438194,-0.4093113,-0.34768867,-0.7429371,-0.0001449585,0.20787048,-0.4123459
0157-08-15 00:00:00,0.42917824,0.1621685,0.4271202,-0.4404602,-0.7049141,-0.63656044,0.02137947,0.33716583,-0.47498322
0157-09-15 00:00:00,0.6081333,0.07202721,0.7617321,-0.22366333,-0.57790756,-0.44123077,0.029047012,0.191473,-0.6320839
0157-10-15 00:00:00,0.78980255,0.006002426,0.7726536,-0.21553421,-0.6839981,-0.46295738,-0.028774261,0.19208145,-0.7407341
0157-11-15 00:00:00,0.6998043,-0.025270462,0.8928127,-0.29235458,-0.8917141,-0.37122345,0.12858391,0.25627518,-0.7547951
0157-12-15 00:00:00,0.79833794,-0.100666046,1.125246,-0.42901802,-0.8795433,-0.27898216,0.22086143,0.38952637,-0.6076164
0158-01-15 00:00:00,0.9311123,-0.0036239624,1.3833218,-0.29632378,-0.77036667,-0.2105217,0.215271,0.3630371,-0.8241234
0158-02-15 00:00:00,0.7619343,0.07854843,1.4372044,-0.09956932,-0.5953407,-0.28672028,0.035507202,0.25607872,-0.66952515
0158-03-15 00:00:00,0.5318508,0.26530838,1.4327831,0.19731712,-0.47218513,-0.21568108,0.0696373,0.10864258,-0.46434784
0158-04-15 00:00:00,0.026950836,0.20395279,1.3190517,0.098321915,-0.5742073,-0.2611084,-0.06529236,-0.2347393,-0.63583374
0158-05-15 00:00:00,-0.44311333,0.16248703,1.2997818,0.22245598,-0.55924225,-0.08918762,-0.090789795,-0.34635735,-0.66291046
0158-06-15 00:00:00,-0.4639473,0.39643097,1.2174549,0.41883278,-0.31336594,-0.06278038,0.061929703,-0.5302181,-0.40972137
0158-07-15 00:00:00,-0.21666145,0.7250347,1.2313442,0.8900566,-0.29932976,0.12022781,0.063114166,-0.9100647,-0.30104828
0158-08-15 00:00:00,0.02699089,1.2039585,1.0562668,1.017292,-0.41304588,0.5022068,0.12726974,-0.9004307,-0.120212555
0158-09-15 00:00:00,0.27682877,1.1482391,0.93769073,0.9008064,-0.47553635,0.5674381,0.32584763,-0.66124725,-0.25371552
0158-10-15 00:00:00,0.67739487,0.90247536,0.7192154,0.7693405,-0.42111015,0.7578964,0.34064674,-0.72632027,-0.1510086
0158-11-15 00:00:00,0.80783844,0.93125343,0.6178036,0.9703007,-0.4303398,0.8484459,0.57821274,-0.7683468,-0.19977188
0158-12-15 00:00:00,0.76332283,1.0766964,0.5821419,1.1583996,-0.5890503,0.91983414,0.68647575,-1.0033436,-0.33971024
0159-01-15 00:00:00,0.88658714,1.1923656,0.23962784,1.1644936,-0.5998459,0.7768307,0.87215424,-0.88625526,-0.020179749
0159-02-15 00:00:00,0.90490913,1.294344,-0.28614235,0.97877884,-0.4952736,0.6868439,0.7122021,-0.5066204,0.51690674
0159-03-15 00:00:00,0.7646637,1.3243294,-0.38344002,0.51169205,-0.25403976,0.48101997,0.65860367,-0.21204948,0.9669113
0159-04-15 00:00:00,0.74542236,1.2400436,-0.46611214,0.15219116,0.16343307,0.46019363,0.6837902,0.07781601,1.1877441
0159-05-15 00:00:00,0.9156914,1.3436394,-0.7475624,-0.23508263,-0.011571884,0.5042095,0.34584808,0.15704346,0.9663391
0159-06-15 00:00:00,1.3812466,1.4703217,-1.2884846,-0.6116543,0.08958626,0.38329697,0.2640667,0.2625351,0.9097481
0159-07-15 00:00:00,1.6375294,1.6566391,-1.2617607,-0.39304352,0.41433907,0.25436592,-0.086071014,0.47538376,1.0457954
0159-08-15 00:00:00,2.1217766,1.7997894,-1.2540703,-0.33860207,0.6179409,-0.22317505,-0.14984703,0.2778759,1.4500885
0159-09-15 00:00:00,2.4394646,1.6975136,-1.4860611,-0.1998272,0.8719368,-0.5202637,-0.15962219,0.1868496,1.5233955
0159-10-15 00:00:00,2.5154724,1.6540012,-1.3579845,-0.40728188,0.91799545,-0.45694733,0.009725571,-0.0240345,1.1397972
0159-11-15 00:00:00,2.7082157,1.7847099,-1.3495178,-0.564476,0.9693012,-0.12285423,0.05439949,-0.10538101,0.7350273
0159-12-15 00:00:00,2.8451824,1.7412186,-1.3661232,-0.6736069,1.0563793,-0.048692703,0.084402084,0.016475677,0.67302704
0160-01-15 00:00:00,2.6554794,1.6079578,-1.0761013,-0.69516945,0.8261452,-0.034002304,-0.20763779,0.28015137,0.38300323
0160-02-15 00:00:00,2.343233,1.2695942,-0.9604244,-0.5600357,0.6004982,0.1296463,-0.37251472,0.4573574,-0.0038032532
0160-03-15 00:00:00,1.8592796,0.46170425,-1.3804474,-0.60915947,0.57084846,0.3522377,-0.5778427,0.78095627,-0.10403061
0160-04-15 00:00:00,1.2464123,0.42612076,-1.4050713,-0.47278595,0.45254898,0.45970917,-0.377079,0.66633224,-0.17071915
0160-05-15 00:00:00,0.899292,0.13913536,-1.060606,-0.21822739,0.45316124,0.5491848,0.032661438,0.5555153,0.04109955
0160-06-15 00:00:00,0.13380814,-0.31142616,-1.1875191,-0.020750046,0.53863335,0.7560406,-0.4201603,0.42943573,0.12314224
0160-07-15 00:00:00,-0.34409332,-0.5909004,-1.1981659,-0.05011177,0.7592678,0.87265587,-0.9170666,0.41731262,0.092063904
0160-08-15 00:00:00,-0.7553749,-0.64520264,-1.232296,-0.115161896,0.77970314,1.2434998,-1.2472324,0.37119102,-0.10132599
0160-09-15 00:00:00,-0.9007492,-0.6858616,-1.5024948,0.12046051,0.43006134,1.4801311,-1.2157822,0.20248604,-0.05142975
0160-10-15 00:00:00,-0.9800644,-0.58003426,-1.6863155,0.28717613,0.43588257,1.5067997,-1.2918758,0.18701363,0.027542114
0160-11-15 00:00:00,-1.0634422,-0.6083088,-1.7887669,0.18715286,0.41472244,1.6117287,-1.1722164,0.12837982,-0.03883362
0160-12-15 00:00:00,-0.896986,-0.72950363,-1.7709026,0.08701515,0.41041374,1.5117722,-1.0375061,0.26889038,0.07296753
0161-01-15 00:00:00,-0.681242,-0.64806175,-1.5310841,0.086019516,0.19813728,1.0744076,-0.772171,0.18339539,0.47201538
0161-02-15 00:00:00,-0.8001423,-0.5178318,-0.94566345,-0.119169235,-0.12005806,0.41475296,-0.58691406,0.16842079,0.18772888
0161-03-15 00:00:00,-0.5099602,0.0007419586,-0.6047058,-0.10269356,0.119600296,-0.058221817,-0.4302101,0.12424469,-0.0885582
0161-04-15 00:00:00,-0.56962395,0.19077682,-0.51306534,-0.032388687,0.3545742,-0.25753403,-0.24143219,0.069755554,0.11380386
0161-05-15 00:00:00,-0.7727394,0.2643547,-0.47399902,0.053545,0.38295746,-0.40026855,-0.102962494,0.05443573,0.31637955
0161-06-15 00:00:00,-0.75548553,0.5206814,-0.22797585,0.3537426,0.486063,-0.8346844,-0.1968708,-0.24588013,0.4146576
0161-07-15 00:00:00,-0.6607628,0.6753597,-0.060689926,0.7436371,0.53783226,-1.2662563,-0.6437111,-0.4997692,0.2563858
0161-08-15 00:00:00,-0.89398193,0.7304783,0.3882904,0.94999695,0.16062546,-1.3631554,-1.228138,-0.5594864,0.452034
0161-09-15 00:00:00,-1.1829376,0.9529762,0.6787605,0.8329811,0.0032653809,-0.9669647,-1.2378902,-0.6885872,0.36119843
0161-10-15 00:00:00,-1.0152111,1.0051632,0.80851364,0.79639053,-0.0065898895,-0.8589821,-1.3540916,-0.74246216,0.24002457
0161-11-15 00:00:00,-0.83161926,0.8567562,1.0719109,0.8400574,-0.13008118,-0.8655052,-1.5725098,-0.56228447,0.14118958
0161-12-15 00:00:00,-0.9893017,0.9541626,1.262186,0.8539314,-0.36902046,-0.92990875,-1.4105282,-0.4675007,0.09724045
